"Role Name","Wallet Address","Discord User ID","Discord Username","Telegram Username","Twitter Username","Submitted Date"
"Raccoon OG","inj16mjrvu4lwdklf8w34fvcrhk7xa3yxhaqm84jnu","822158695282245653","boymeetsworld67#0","N/A","bmw67_PRMR","2025-01-25T15:42:16.962Z"
"Raccoon OG","inj1w07njjyzlq24spumxw5w3u2j0l0m9hfdm05l8c","1182457295645450351","mimie_jayzz#0","N/A","N/A","2025-01-25T15:44:15.554Z"
"Raccoon OG","inj1uzlpyjtszla329xr6684a6ujhtyyqyc4dznlsk","1250915807660085274","bvg_zetsu#0","bvg_zetsu","bvg_zetsu","2025-01-25T15:45:58.297Z"
"Raccoon OG","inj1v038ggulvsfkeea3hdh5dyk869wlrzsrpgrczg","184721791074172930","sigmoz#0","N/A","ReynyBourse","2025-01-25T15:48:09.706Z"
"Raccoon OG","inj1v8zscalsd6akcwmjntzpffjs3xzcsxse62xtuf","1249740228965699604","delv_c#0","N/A","N/A","2025-01-25T15:49:03.166Z"
"Raccoon OG","inj1xtx6edf3003ansslyhz9sqjt5hlee7fjd0n6c8","1254407881248473129","_de_andree_#0","N/A","N/A","2025-01-25T15:56:46.089Z"
"Raccoon OG","inj19vqdkr9m20wcgpyter4ck4clamdcudnts40rch","774957927295483914","guneshwar#0","N/A","HajarimayumG","2025-01-25T16:18:09.824Z"
"Raccoon OG","inj1mzz2q5j0ln0u0fewmx90jkmmjtjlc5v2k5ut2e","354650188494929921","mooo8018#0","N/A","Mooo9980","2025-01-25T16:39:06.940Z"
"Raccoon OG","inj1uxvmqam9n4ey7xn3ra8wpaggfaeqs36z3ny9el","899262221245354025","mdcrypto#0","MDCryptoWorld","MDCryptoWorld","2025-01-25T18:08:31.904Z"
"Raccoon OG","inj1p9j4awtqyjv2cypp3uslnteeshzq9x0kfeugpk","390228417586397194","its_maico#0","N/A","maic012","2025-01-25T18:13:37.386Z"
"Raccoon OG","inj1x8w0p8675jnl5sxmqagdljjsfnprnxuwhlsp30","1202755834438877218","sheddygadzama#0","N/A","goodness649814","2025-01-25T18:21:19.009Z"
"Raccoon OG","inj19gkt7zdltr64efe8vwgey3juxcknd5klz4crga","689027745455407171","k.ziga#0","N/A","skokec_pokec","2025-01-25T18:27:22.257Z"
"Raccoon OG","inj1vjse03ar43j3r6udtgzevadgjympjgdptkneff","1241374827336564742","solpanda0271#0","Solpanada","INJpanda","2025-01-25T18:46:26.841Z"
"Raccoon OG","inj10rlrz5em5njpwvza65ecrxut79pmxvvyvtvtax","892845867764178955","gurayakgur#0","guray_akgur","BlockchainGemi","2025-01-25T19:56:56.761Z"
"Raccoon OG","inj143fx0awpu0yefkfzlvwv30sax3y547zqr7sq6j","1205570519416438855","mariecpt#0","N/A","N/A","2025-01-25T20:19:57.868Z"
"Raccoon OG","inj1qe6et9609vy5vx2rsj8668feufsufn504lz0lg","919365303656415243","dayve04_#0","N/A","Dayve17_","2025-01-25T20:29:40.404Z"
